"case","run","ms"
"0 docker CLI floor (docker version)","1","226.8"
"0 docker CLI floor (docker version)","2","236.6"
"0 docker CLI floor (docker version)","3","249.7"
"0 docker CLI floor (docker version)","4","231.5"
"0 docker CLI floor (docker version)","5","191.9"
"0 docker CLI floor (docker version)","6","235.6"
"0 docker CLI floor (docker version)","7","270.2"
"0 docker CLI floor (docker version)","8","248.8"
"0 docker CLI floor (docker version)","9","213.8"
"0 docker CLI floor (docker version)","10","206.4"
"0 docker CLI floor (docker version)","11","179.3"
"0 docker CLI floor (docker version)","12","177.9"
"0 docker CLI floor (docker version)","13","196.2"
"0 docker CLI floor (docker version)","14","248.7"
"0 docker CLI floor (docker version)","15","225.5"
"0 docker CLI floor (docker version)","16","235.4"
"0 docker CLI floor (docker version)","17","222.3"
"0 docker CLI floor (docker version)","18","220.3"
"0 docker CLI floor (docker version)","19","221.4"
"0 docker CLI floor (docker version)","20","239.1"
"1 capsule own work (dry-run)","1","71.9"
"1 capsule own work (dry-run)","2","14.3"
"1 capsule own work (dry-run)","3","22.4"
"1 capsule own work (dry-run)","4","12"
"1 capsule own work (dry-run)","5","13.5"
"1 capsule own work (dry-run)","6","20.1"
"1 capsule own work (dry-run)","7","21.9"
"1 capsule own work (dry-run)","8","28.9"
"1 capsule own work (dry-run)","9","22.7"
"1 capsule own work (dry-run)","10","24.3"
"1 capsule own work (dry-run)","11","24.2"
"1 capsule own work (dry-run)","12","16.4"
"1 capsule own work (dry-run)","13","19.9"
"1 capsule own work (dry-run)","14","33.8"
"1 capsule own work (dry-run)","15","13.8"
"1 capsule own work (dry-run)","16","14.8"
"1 capsule own work (dry-run)","17","21.4"
"1 capsule own work (dry-run)","18","25.2"
"1 capsule own work (dry-run)","19","44.8"
"1 capsule own work (dry-run)","20","15.3"
"2 image pull (cold)","1","4272.9"
"2 image pull (cold)","2","5234"
"2 image pull (cold)","3","4661.9"
"2 image pull (cold)","4","6449.5"
"2 image pull (cold)","5","5633.3"
"3 image pull (already present)","1","2556.8"
"3 image pull (already present)","2","2806.9"
"3 image pull (already present)","3","2459"
"3 image pull (already present)","4","2381.8"
"3 image pull (already present)","5","2331.4"
"3 image pull (already present)","6","3157.2"
"3 image pull (already present)","7","3484.6"
"3 image pull (already present)","8","2849.7"
"3 image pull (already present)","9","2560.3"
"3 image pull (already present)","10","2350.4"
"3 image pull (already present)","11","2736.1"
"3 image pull (already present)","12","2700.9"
"3 image pull (already present)","13","2593.3"
"3 image pull (already present)","14","3204.9"
"3 image pull (already present)","15","3643.2"
"3 image pull (already present)","16","2622.6"
"3 image pull (already present)","17","2335.3"
"3 image pull (already present)","18","2521.7"
"3 image pull (already present)","19","2560.3"
"3 image pull (already present)","20","2636.3"
"4 container create","1","875.2"
"4 container create","2","632.6"
"4 container create","3","905"
"4 container create","4","1514.5"
"4 container create","5","2277.3"
"4 container create","6","366.4"
"4 container create","7","598.4"
"4 container create","8","434.6"
"4 container create","9","358.3"
"4 container create","10","280.1"
"4 container create","11","590.1"
"4 container create","12","498.6"
"4 container create","13","607.7"
"4 container create","14","252"
"4 container create","15","244"
"4 container create","16","373.1"
"4 container create","17","328.4"
"4 container create","18","219.7"
"4 container create","19","260.4"
"4 container create","20","244.9"
"5 start + command","1","1608.8"
"5 start + command","2","1213.5"
"5 start + command","3","1487.6"
"5 start + command","4","1419.2"
"5 start + command","5","1395.4"
"5 start + command","6","697.5"
"5 start + command","7","1302.6"
"5 start + command","8","840.4"
"5 start + command","9","710.3"
"5 start + command","10","1033.9"
"5 start + command","11","1037"
"5 start + command","12","898.5"
"5 start + command","13","1262"
"5 start + command","14","493.5"
"5 start + command","15","462.5"
"5 start + command","16","723.7"
"5 start + command","17","546.7"
"5 start + command","18","446.7"
"5 start + command","19","484.4"
"5 start + command","20","546"
"6 container remove","1","563.6"
"6 container remove","2","487.5"
"6 container remove","3","433.4"
"6 container remove","4","549.8"
"6 container remove","5","324.6"
"6 container remove","6","269.1"
"6 container remove","7","342"
"6 container remove","8","211.3"
"6 container remove","9","241.2"
"6 container remove","10","284.4"
"6 container remove","11","214.9"
"6 container remove","12","418.6"
"6 container remove","13","232.4"
"6 container remove","14","192.5"
"6 container remove","15","210.1"
"6 container remove","16","277.3"
"6 container remove","17","208.5"
"6 container remove","18","185.2"
"6 container remove","19","198.8"
"6 container remove","20","217.1"
"7 docker run --rm (all of 4-6 in one call)","1","1408.8"
"7 docker run --rm (all of 4-6 in one call)","2","1100.9"
"7 docker run --rm (all of 4-6 in one call)","3","692.9"
"7 docker run --rm (all of 4-6 in one call)","4","1221.3"
"7 docker run --rm (all of 4-6 in one call)","5","1437.9"
"7 docker run --rm (all of 4-6 in one call)","6","989.2"
"7 docker run --rm (all of 4-6 in one call)","7","647.5"
"7 docker run --rm (all of 4-6 in one call)","8","566.3"
"7 docker run --rm (all of 4-6 in one call)","9","557"
"7 docker run --rm (all of 4-6 in one call)","10","594.4"
"7 docker run --rm (all of 4-6 in one call)","11","713.7"
"7 docker run --rm (all of 4-6 in one call)","12","802.9"
"7 docker run --rm (all of 4-6 in one call)","13","722"
"7 docker run --rm (all of 4-6 in one call)","14","755.1"
"7 docker run --rm (all of 4-6 in one call)","15","692.8"
"7 docker run --rm (all of 4-6 in one call)","16","764.3"
"7 docker run --rm (all of 4-6 in one call)","17","505.9"
"7 docker run --rm (all of 4-6 in one call)","18","525.5"
"7 docker run --rm (all of 4-6 in one call)","19","501.5"
"7 docker run --rm (all of 4-6 in one call)","20","1051.6"
