"case","run","ms"
"capsule up -- true","1","466.2"
"capsule up -- true","2","486.3"
"capsule up -- true","3","515"
"capsule up -- true","4","557.4"
"capsule up -- true","5","673.6"
"capsule up -- true","6","702.7"
"capsule up -- true","7","588.2"
"capsule up -- true","8","529.5"
"capsule up -- true","9","530.8"
"capsule up -- true","10","586.2"
"capsule up -- true","11","644.8"
"capsule up -- true","12","490.3"
"capsule up -- true","13","544.1"
"capsule up -- true","14","580.1"
"capsule up -- true","15","535.9"
"capsule up -- true","16","508.7"
"capsule up -- true","17","539.3"
"capsule up -- true","18","571.4"
"capsule up -- true","19","521.9"
"capsule up -- true","20","535.3"
"capsule up -- true","21","558.8"
"capsule up -- true","22","442"
"capsule up -- true","23","552.7"
"capsule up -- true","24","611.8"
"capsule up -- true","25","549.8"
"capsule up -- true","26","569.1"
"capsule up -- true","27","662.8"
"capsule up -- true","28","485.1"
"capsule up -- true","29","535.2"
"capsule up -- true","30","481.9"
"capsule up --dry-run (no runtime)","1","15.7"
"capsule up --dry-run (no runtime)","2","12.3"
"capsule up --dry-run (no runtime)","3","17"
"capsule up --dry-run (no runtime)","4","13.3"
"capsule up --dry-run (no runtime)","5","25.4"
"capsule up --dry-run (no runtime)","6","15.2"
"capsule up --dry-run (no runtime)","7","15"
"capsule up --dry-run (no runtime)","8","13.7"
"capsule up --dry-run (no runtime)","9","12.2"
"capsule up --dry-run (no runtime)","10","11.4"
"capsule up --dry-run (no runtime)","11","11.8"
"capsule up --dry-run (no runtime)","12","14.1"
"capsule up --dry-run (no runtime)","13","13.4"
"capsule up --dry-run (no runtime)","14","13.1"
"capsule up --dry-run (no runtime)","15","14.4"
"capsule up --dry-run (no runtime)","16","11.6"
"capsule up --dry-run (no runtime)","17","10.6"
"capsule up --dry-run (no runtime)","18","10.5"
"capsule up --dry-run (no runtime)","19","11.5"
"capsule up --dry-run (no runtime)","20","34.2"
"capsule up --dry-run (no runtime)","21","11.2"
"capsule up --dry-run (no runtime)","22","28.6"
"capsule up --dry-run (no runtime)","23","11.1"
"capsule up --dry-run (no runtime)","24","31.4"
"capsule up --dry-run (no runtime)","25","14.9"
"capsule up --dry-run (no runtime)","26","11.2"
"capsule up --dry-run (no runtime)","27","11.7"
"capsule up --dry-run (no runtime)","28","12.3"
"capsule up --dry-run (no runtime)","29","11.1"
"capsule up --dry-run (no runtime)","30","10.7"
"docker run, capsule argv, by hand","1","586.5"
"docker run, capsule argv, by hand","2","598.3"
"docker run, capsule argv, by hand","3","535.6"
"docker run, capsule argv, by hand","4","572.1"
"docker run, capsule argv, by hand","5","591.9"
"docker run, capsule argv, by hand","6","582.4"
"docker run, capsule argv, by hand","7","490.9"
"docker run, capsule argv, by hand","8","509.5"
"docker run, capsule argv, by hand","9","486.1"
"docker run, capsule argv, by hand","10","682"
"docker run, capsule argv, by hand","11","595.2"
"docker run, capsule argv, by hand","12","595"
"docker run, capsule argv, by hand","13","631"
"docker run, capsule argv, by hand","14","586.1"
"docker run, capsule argv, by hand","15","545"
"docker run, capsule argv, by hand","16","582.2"
"docker run, capsule argv, by hand","17","622.9"
"docker run, capsule argv, by hand","18","529.4"
"docker run, capsule argv, by hand","19","493"
"docker run, capsule argv, by hand","20","474.6"
"docker run, capsule argv, by hand","21","505.2"
"docker run, capsule argv, by hand","22","470.9"
"docker run, capsule argv, by hand","23","528"
"docker run, capsule argv, by hand","24","461.1"
"docker run, capsule argv, by hand","25","472.9"
"docker run, capsule argv, by hand","26","510.3"
"docker run, capsule argv, by hand","27","471"
"docker run, capsule argv, by hand","28","514.9"
"docker run, capsule argv, by hand","29","468.9"
"docker run, capsule argv, by hand","30","431.2"
"docker run, minimal equivalent","1","554.4"
"docker run, minimal equivalent","2","506.4"
"docker run, minimal equivalent","3","504.8"
"docker run, minimal equivalent","4","517.1"
"docker run, minimal equivalent","5","513.2"
"docker run, minimal equivalent","6","549.7"
"docker run, minimal equivalent","7","519"
"docker run, minimal equivalent","8","491.9"
"docker run, minimal equivalent","9","578.5"
"docker run, minimal equivalent","10","502.8"
"docker run, minimal equivalent","11","804.7"
"docker run, minimal equivalent","12","790.2"
"docker run, minimal equivalent","13","485.7"
"docker run, minimal equivalent","14","729.2"
"docker run, minimal equivalent","15","564.7"
"docker run, minimal equivalent","16","591.9"
"docker run, minimal equivalent","17","573.9"
"docker run, minimal equivalent","18","469.2"
"docker run, minimal equivalent","19","531.2"
"docker run, minimal equivalent","20","571.3"
"docker run, minimal equivalent","21","566"
"docker run, minimal equivalent","22","560.5"
"docker run, minimal equivalent","23","533.6"
"docker run, minimal equivalent","24","499"
"docker run, minimal equivalent","25","487.2"
"docker run, minimal equivalent","26","471.3"
"docker run, minimal equivalent","27","540.6"
"docker run, minimal equivalent","28","515.6"
"docker run, minimal equivalent","29","561.6"
"docker run, minimal equivalent","30","495.9"
