"case","run","ms"
"1 service, no ready check","1","2035.4"
"1 service, no ready check","2","2010.1"
"1 service, no ready check","3","1995.7"
"1 service, no ready check","4","2709.2"
"1 service, no ready check","5","3170.6"
"1 service, no ready check","6","2467.3"
"1 service, no ready check","7","2429.2"
"1 service, no ready check","8","2444.8"
"1 service, no ready check","9","2435.1"
"1 service, no ready check","10","2717.9"
"1 service, with ready check","1","2749.4"
"1 service, with ready check","2","2495.6"
"1 service, with ready check","3","2731.2"
"1 service, with ready check","4","2695.6"
"1 service, with ready check","5","3011.6"
"1 service, with ready check","6","2619.1"
"1 service, with ready check","7","2582.1"
"1 service, with ready check","8","2802.7"
"1 service, with ready check","9","2896.5"
"1 service, with ready check","10","2525.7"
"2 services, no ready check","1","4933.9"
"2 services, no ready check","2","4728.4"
"2 services, no ready check","3","5033.3"
"2 services, no ready check","4","4349.2"
"2 services, no ready check","5","3710.2"
"2 services, no ready check","6","3694.7"
"2 services, no ready check","7","3424.2"
"2 services, no ready check","8","2691.3"
"2 services, no ready check","9","2921.3"
"2 services, no ready check","10","2858.9"
"no services","1","600.9"
"no services","2","498.4"
"no services","3","618.5"
"no services","4","559.7"
"no services","5","672.7"
"no services","6","568.9"
"no services","7","578.3"
"no services","8","683.2"
"no services","9","824.5"
"no services","10","570.3"
