"case","run","ms"
"alpine:3.20 cold","1","5430"
"alpine:3.20 cold","2","5019"
"alpine:3.20 cold","3","6158"
"alpine:3.20 cold","4","6543.8"
"alpine:3.20 cold","5","6192.7"
"alpine:3.20 warm","1","972.9"
"alpine:3.20 warm","2","1198.8"
"alpine:3.20 warm","3","1254.9"
"alpine:3.20 warm","4","1768.9"
"alpine:3.20 warm","5","859.3"
"alpine:3.20 warm","6","1510.5"
"alpine:3.20 warm","7","1507.4"
"alpine:3.20 warm","8","1794.8"
"alpine:3.20 warm","9","1379.7"
"alpine:3.20 warm","10","1366.1"
"alpine:3.20 warm","11","982.3"
"alpine:3.20 warm","12","1003"
"alpine:3.20 warm","13","1025.4"
"alpine:3.20 warm","14","1090.5"
"alpine:3.20 warm","15","1002.5"
"alpine:3.20 warm","16","933.4"
"alpine:3.20 warm","17","984.9"
"alpine:3.20 warm","18","949.3"
"alpine:3.20 warm","19","1054"
"alpine:3.20 warm","20","1010.2"
"alpine:3.20 warm","21","1492.3"
"alpine:3.20 warm","22","1680.3"
"alpine:3.20 warm","23","901.4"
"alpine:3.20 warm","24","877.2"
"alpine:3.20 warm","25","1049.8"
"alpine:3.20 warm","26","1046.9"
"alpine:3.20 warm","27","791.1"
"alpine:3.20 warm","28","894.6"
"alpine:3.20 warm","29","879"
"alpine:3.20 warm","30","963"
"golang:1.25-alpine cold","1","14485.1"
"golang:1.25-alpine cold","2","14120.8"
"golang:1.25-alpine cold","3","15284"
"golang:1.25-alpine cold","4","12614.2"
"golang:1.25-alpine cold","5","12987.4"
"golang:1.25-alpine warm","1","967.7"
"golang:1.25-alpine warm","2","828.1"
"golang:1.25-alpine warm","3","1077.3"
"golang:1.25-alpine warm","4","1114.6"
"golang:1.25-alpine warm","5","1452.7"
"golang:1.25-alpine warm","6","998.6"
"golang:1.25-alpine warm","7","907.8"
"golang:1.25-alpine warm","8","916.5"
"golang:1.25-alpine warm","9","970.8"
"golang:1.25-alpine warm","10","1022.3"
"golang:1.25-alpine warm","11","1086.7"
"golang:1.25-alpine warm","12","1200.8"
"golang:1.25-alpine warm","13","1198.9"
"golang:1.25-alpine warm","14","959.7"
"golang:1.25-alpine warm","15","989.8"
"golang:1.25-alpine warm","16","964.6"
"golang:1.25-alpine warm","17","1007"
"golang:1.25-alpine warm","18","898.2"
"golang:1.25-alpine warm","19","1139.4"
"golang:1.25-alpine warm","20","849.1"
"golang:1.25-alpine warm","21","906.7"
"golang:1.25-alpine warm","22","719.7"
"golang:1.25-alpine warm","23","960.9"
"golang:1.25-alpine warm","24","1354.5"
"golang:1.25-alpine warm","25","1096.1"
"golang:1.25-alpine warm","26","959.3"
"golang:1.25-alpine warm","27","897.4"
"golang:1.25-alpine warm","28","964.4"
"golang:1.25-alpine warm","29","887.2"
"golang:1.25-alpine warm","30","1060.3"
